Dia;Quejas
01/01/2018;0
02/01/2018;7
03/01/2018;5
04/01/2018;3
05/01/2018;7
06/01/2018;0
07/01/2018;0
08/01/2018;0
09/01/2018;5
10/01/2018;5
11/01/2018;8
12/01/2018;9
13/01/2018;1
14/01/2018;2
15/01/2018;9
16/01/2018;6
17/01/2018;9
18/01/2018;10
19/01/2018;10
20/01/2018;0
21/01/2018;0
22/01/2018;5
23/01/2018;10
24/01/2018;9
25/01/2018;9
26/01/2018;4
27/01/2018;2
28/01/2018;1
29/01/2018;11
30/01/2018;13
31/01/2018;8
01/02/2018;11
02/02/2018;12
03/02/2018;0
04/02/2018;0
05/02/2018;7
06/02/2018;12
07/02/2018;10
08/02/2018;10
09/02/2018;13
10/02/2018;1
11/02/2018;0
12/02/2018;12
13/02/2018;11
14/02/2018;10
15/02/2018;5
16/02/2018;9
17/02/2018;3
18/02/2018;0
19/02/2018;9
20/02/2018;14
21/02/2018;8
22/02/2018;6
23/02/2018;7
24/02/2018;0
25/02/2018;0
26/02/2018;15
27/02/2018;10
28/02/2018;12
01/03/2018;10
02/03/2018;7
03/03/2018;0
04/03/2018;0
05/03/2018;11
06/03/2018;6
07/03/2018;16
08/03/2018;8
09/03/2018;10
10/03/2018;0
11/03/2018;1
12/03/2018;14
13/03/2018;12
14/03/2018;10
15/03/2018;15
16/03/2018;15
17/03/2018;1
18/03/2018;0
19/03/2018;0
20/03/2018;6
21/03/2018;18
22/03/2018;18
23/03/2018;17
24/03/2018;1
25/03/2018;1
26/03/2018;8
27/03/2018;14
28/03/2018;9
29/03/2018;0
30/03/2018;0
31/03/2018;1
01/04/2018;0
02/04/2018;13
03/04/2018;8
04/04/2018;18
05/04/2018;12
06/04/2018;9
07/04/2018;1
08/04/2018;1
09/04/2018;15
10/04/2018;17
11/04/2018;13
12/04/2018;9
13/04/2018;11
14/04/2018;1
15/04/2018;0
16/04/2018;7
17/04/2018;10
18/04/2018;17
19/04/2018;17
20/04/2018;10
21/04/2018;1
22/04/2018;0
23/04/2018;17
24/04/2018;26
25/04/2018;11
26/04/2018;9
27/04/2018;6
28/04/2018;0
29/04/2018;0
30/04/2018;12
01/05/2018;0
02/05/2018;13
03/05/2018;23
04/05/2018;15
05/05/2018;1
06/05/2018;0
07/05/2018;7
08/05/2018;13
09/05/2018;7
10/05/2018;8
11/05/2018;12
12/05/2018;1
13/05/2018;1
14/05/2018;1
15/05/2018;9
16/05/2018;14
17/05/2018;9
18/05/2018;20
19/05/2018;0
20/05/2018;0
21/05/2018;14
22/05/2018;16
23/05/2018;14
24/05/2018;10
25/05/2018;16
26/05/2018;0
27/05/2018;0
28/05/2018;13
29/05/2018;8
30/05/2018;7
31/05/2018;10
01/06/2018;12
02/06/2018;0
03/06/2018;0
04/06/2018;0
05/06/2018;15
06/06/2018;11
07/06/2018;11
08/06/2018;10
09/06/2018;0
10/06/2018;0
11/06/2018;0
12/06/2018;12
13/06/2018;15
14/06/2018;15
15/06/2018;12
16/06/2018;0
17/06/2018;0
18/06/2018;15
19/06/2018;9
20/06/2018;10
21/06/2018;11
22/06/2018;8
23/06/2018;1
24/06/2018;0
25/06/2018;8
26/06/2018;13
27/06/2018;10
28/06/2018;11
29/06/2018;13
30/06/2018;1
02/07/2018;0
03/07/2018;10
04/07/2018;16
05/07/2018;15
06/07/2018;19
07/07/2018;0
08/07/2018;1
09/07/2018;11
10/07/2018;9
11/07/2018;8
12/07/2018;16
13/07/2018;6
14/07/2018;0
15/07/2018;0
16/07/2018;7
17/07/2018;9
18/07/2018;5
19/07/2018;9
20/07/2018;0
21/07/2018;1
22/07/2018;1
23/07/2018;6
24/07/2018;12
25/07/2018;8
26/07/2018;5
27/07/2018;9
28/07/2018;0
29/07/2018;1
30/07/2018;9
31/07/2018;3
01/08/2018;6
02/08/2018;7
03/08/2018;5
04/08/2018;0
05/08/2018;0
06/08/2018;7
07/08/2018;0
08/08/2018;6
09/08/2018;12
10/08/2018;3
11/08/2018;0
12/08/2018;0
13/08/2018;9
14/08/2018;12
15/08/2018;10
16/08/2018;9
17/08/2018;5
18/08/2018;0
19/08/2018;0
20/08/2018;0
21/08/2018;5
22/08/2018;8
23/08/2018;9
24/08/2018;7
25/08/2018;0
26/08/2018;0
27/08/2018;10
28/08/2018;5
29/08/2018;6
30/08/2018;8
31/08/2018;9
01/09/2018;2
02/09/2018;0
03/09/2018;6
04/09/2018;5
05/09/2018;3
06/09/2018;9
07/09/2018;9
08/09/2018;1
09/09/2018;0
10/09/2018;8
11/09/2018;7
12/09/2018;4
13/09/2018;3
14/09/2018;6
15/09/2018;0
16/09/2018;0
17/09/2018;6
